|Urut Nasional|Urut Provinsi|NPSN|Kota/Kab.|Sekolah|Provinsi|Rerata|Tertinggi|Terendah|Std. Deviasi|Jenis
42|443|82|20223033|Kota Bekasi|SMAN 2 BEKASI|Jawa Barat|532.216|649.808|402.05|447.4|SMA
43|444|63|P9908769|Kota Surabaya|PKBM KAK SETO|Jawa Timur|532.174|637.78|481.155|433.6|PKBM
44|445|83|20246430|Kota Depok|SMAS ISLAM DIAN DIDAKTIKA|Jawa Barat|532.151|615.455|439.028|403.3|SMA
45|446|84|20280604|Kota Bekasi|SMAS FUTURE GATE|Jawa Barat|532.001|642.333|387.908|443.3|SMA
46|447|2|10901104|Kota Pangkalpinang|SMAN 1 PANGKAL PINANG|Kepulauan Bangka Belitung|531.934|643.708|441.423|382.7|SMA
47|448|8|50101121|Kab. Tabanan|SMAN 1 TABANAN|Bali|531.789|627.693|427.065|421.5|SMA
48|449|85|20231356|Kab. Bogor|SMAS SMART EKSELENSIA INDONESIA|Jawa Barat|531.781|641.178|440.09|440.6|SMA
49|450|77|20321907|Kab. Kendal|SMAN 1 KENDAL|Jawa Tengah|531.759|640.923|411.25|389.3|SMA
50|451|86|20223046|Kota Bekasi|SMAN 3 BEKASI|Jawa Barat|531.557|632.448|412.983|453.5|SMA
51|452|64|20502726|Kab. Mojokerto|SMAN 1 PURI|Jawa Timur|531.548|615.015|437.305|382.8|SMA
52|453|3|10900459|Kab. Belitung|SMAN 1 TANJUNG PANDAN|Kepulauan Bangka Belitung|531.468|638.468|426.078|397.3|SMA
53|454|78|20313845|Kab. Grobogan|SMAN 1 PURWODADI|Jawa Tengah|531.409|636.283|419.683|395.9|SMA
54|455|65|20532232|Kota Surabaya|SMAN 21 SURABAYA|Jawa Timur|531.385|632.578|424.92|370.5|SMA
55|456|3|69952949|Kota Tomohon|SMA LENTERA HARAPAN TOMOHON|Sulawesi Utara|531.144|620.598|450.045|416.3|SMA
56|457|79|69949652|Kota Surakarta|SMA Muhammadiyah Program Khusus Kottabarat Surakarta|Jawa Tengah|531.143|619.343|460.|353.|SMA
57|458|74|20103311|Kota Jakarta Timur|SMAN 53 JAKARTA|DKI Jakarta|531.135|624.905|444.493|340.5|SMA
58|459|12|10210903|Kota Medan|SMAS METHODIST 2 MEDAN|Sumatera Utara|531.098|637.215|417.848|483.|SMA
59|460|38|20402128|Kab. Gunung Kidul|SMKN 1 WONOSARI|DI Yogyakarta|531.043|610.7|443.245|319.|SMK
60|461|66|20533641|Kota Malang|SMAN 9 Malang|Jawa Timur|531.018|644.628|435.78|363.6|SMA
61|462|32|20603361|Kab. Tangerang|SMAN 3 KABUPATEN TANGERANG|Banten|530.947|633.613|424.408|428.|SMA
62|463|87|20216938|Kab. Subang|SMAN 1 SUBANG|Jawa Barat|530.943|624.205|430.945|384.8|SMA
63|464|67|20523807|Kab. Jember|SMAS ST PAULUS|Jawa Timur|530.895|631.348|444.06|444.5|SMA
64|465|39|20400371|Kab. Bantul|SMA NEGERI 1 SEWON|DI Yogyakarta|530.788|630.835|425.028|353.5|SMA
65|466|68|20532217|Kota Surabaya|SMAN 17 SURABAYA|Jawa Timur|530.697|640.768|419.885|338.2|SMA
66|467|33|69759180|Kota Tangerang Selatan|SMA ISLAM SINAR CENDEKIA|Banten|530.628|593.298|432.048|372.9|SMA
67|468|13|69987117|Kab. Tapanuli Selatan|MAN INSAN CENDEKIA TAPANULI SELATAN|Sumatera Utara|530.58|611.828|461.955|403.6|MA
68|469|88|20254358|Kab. Bogor|SMAS GLOBAL MANDIRI|Jawa Barat|530.552|601.888|443.828|454.4|SMA
69|470|89|20224113|Kota Cimahi|SMA NEGERI 1 CIMAHI|Jawa Barat|530.519|644.678|416.318|453.7|SMA
70|471|80|20302169|Kab. Banyumas|SMAN 5 PURWOKERTO|Jawa Tengah|530.443|662.473|438.213|347.7|SMA
71|472|75|69883506|Kota Jakarta Selatan|SMA GARUDA CENDEKIA|DKI Jakarta|530.307|633.04|440.718|453.5|SMA
